gene,log2FC,FDR,RPKM control root,RPKM  roots treated with BA,description
LOC_Os05g21180,1.00,3.78E-16,16.929,31.917,"phosphatidic acid phosphatase-related, putative "
LOC_Os02g13290,1.00,9.57E-14,11.217,21.195,"phosphoethanolamine/phosphocholine phosphatase, putative "
LOC_Os01g21560,1.00,2.59E-08,4.936,9.257,"esterase/lipase/thioesterase family protein, putative "
LOC_Os12g08550,1.00,1.67E-06,0.775,1.458,expressed protein
LOC_Os06g04280,1.00,4.40E-16,112.006,210.439,"3-phosphoshikimate 1-carboxyvinyltransferase, chloroplast precursor, putative "
LOC_Os04g49510,1.00,2.23E-15,51.014,95.683,CAMK_CAMK_like.27 - CAMK includes calcium/calmodulin depedent protein kinases 
LOC_Os10g40120,1.00,1.13E-08,8.717,16.288,"U-box domain containing protein, "
LOC_Os10g09850,1.00,1.59E-05,2.134,4.003,"EF hand family protein, putative "
LOC_Os10g01470,1.00,4.01E-13,16.707,31.272,"homeobox associated leucine zipper, putative "
LOC_Os06g10790,1.00,2.22E-06,2.990,5.583,"lectin-like receptor kinase, putative "
LOC_Os05g05670,1.00,2.67E-08,16.105,30.103,"1-aminocyclopropane-1-carboxylate oxidase, putative "
LOC_Os05g49760,0.99,1.52E-16,26.875,50.488,"dehydrogenase, putative "
LOC_Os04g30530,0.99,2.65E-08,4.075,7.651,"disease resistance protein RGA2, putative "
LOC_Os03g04020,0.99,2.45E-15,29.475,55.435,"expansin precursor, putative "
LOC_Os08g09010,0.99,8.92E-10,146.933,273.552,"Cupin domain containing protein, "
LOC_Os01g62200,0.99,6.51E-05,1.166,2.199,domain of unknown function DUF966 domain containing protein 
LOC_Os02g24080,0.99,5.52E-12,25.906,48.351,"SNARE domain containing protein, putative "
LOC_Os12g02750,0.99,2.32E-15,14.305,26.868,expressed protein
LOC_Os06g48250,0.99,7.82E-14,10.539,19.765,"ATPase, putative "
LOC_Os04g15690,0.99,8.83E-14,69.234,129.265,DSBA-like thioredoxin domain containing protein 
LOC_Os03g22790,0.99,3.24E-06,3.146,5.849,"beta-amylase, putative "
LOC_Os11g47870,0.99,5.58E-09,12.372,23.000,GRAS family transcription factor domain containing protein 
LOC_Os04g54200,0.99,6.34E-08,14.345,26.637,"diacylglycerol kinase, putative "
LOC_Os04g56430,0.99,6.50E-06,23.969,44.791,"cysteine-rich receptor-like protein kinase, putative "
LOC_Os09g23660,0.99,2.01E-13,40.173,74.771,ZIM motif family protein 
LOC_Os01g22980,0.99,1.24E-05,3.906,7.369,OsSCP3 - Putative Serine Carboxypeptidase homologue 
LOC_Os01g57420,0.99,4.21E-17,15.351,28.691,"diacylglycerol kinase, putative "
LOC_Os01g72160,0.99,8.40E-11,11.449,21.390,"glutathione S-transferase, putative "
LOC_Os03g43720,0.99,1.23E-06,4.598,8.496,"transporter family protein, putative "
LOC_Os12g39640,0.98,9.82E-13,7.792,14.559,"MYB family transcription factor, putative "
LOC_Os08g16359,0.98,3.41E-09,7.374,13.756,expressed protein
LOC_Os05g01470,0.98,1.07E-10,51.115,94.657,"methionine S-methyltransferase, putative "
LOC_Os10g41000,0.98,2.02E-09,4.124,7.642,"retrotransposon protein, putative unclassified "
LOC_Os03g05470,0.98,2.86E-11,17.243,31.919,"tyrosine protein kinase domain containing protein, putative "
LOC_Os03g55010,0.98,2.21E-09,9.819,18.153,UDP-glucoronosyl and UDP-glucosyl transferase domain containing protein 
LOC_Os12g36270,0.98,3.55E-14,6.418,11.901,expressed protein
LOC_Os10g28050,0.98,1.21E-09,33.539,61.865,"chitinase 2, putative "
LOC_Os04g02030,0.98,3.25E-06,5.669,10.421,"rp1, putative "
LOC_Os05g25450,0.98,1.81E-13,11.659,21.543,TKL_IRAK_CrRLK1L-1.3 - The CrRLK1L-1 subfamily has homology to the CrRLK1L homolog 
LOC_Os12g43620,0.98,1.70E-08,9.146,16.833,helix-loop-helix DNA-binding domain containing protein 
LOC_Os01g16400,0.97,2.49E-06,3.308,6.070,NB-ARC domain containing protein 
LOC_Os04g30060,0.97,3.13E-05,3.830,7.046,"wall-associated receptor kinase-like 10 precursor, putative "
LOC_Os07g10160,0.97,6.59E-05,1.383,2.555,"glucosyltransferase, putative "
LOC_Os06g48500,0.97,5.22E-16,29.828,55.067,expressed protein
LOC_Os08g31580,0.97,5.35E-12,55.265,101.997,"ethylene-responsive transcription factor, putative "
LOC_Os03g05620,0.97,2.99E-09,43.983,80.881,"inorganic phosphate transporter, putative "
LOC_Os02g54520,0.97,1.18E-14,13.046,24.058,"MYB family transcription factor, putative "
LOC_Os11g08100,0.97,1.87E-14,55.579,102.287,eukaryotic aspartyl protease domain containing protein 
LOC_Os09g27950,0.97,3.73E-08,3.186,5.870,"galactosyltransferase, putative "
LOC_Os01g66120,0.97,8.51E-12,26.760,49.132,"No apical meristem protein, putative "
LOC_Os02g04650,0.97,7.75E-16,24.210,44.565,"activator of 90 kDa heat shock protein ATPase homolog, putative "
LOC_Os12g36210,0.97,5.06E-14,54.263,99.946,"inhibitor I family protein, putative "
LOC_Os06g11660,0.97,1.84E-09,7.710,14.246,phosphate-induced protein 1 conserved region domain containing protein 
LOC_Os02g05960,0.96,1.62E-05,1.146,2.094,"phytosulfokine receptor precursor, putative "
LOC_Os08g34210,0.96,2.48E-16,22.215,40.873,"aldehyde dehydrogenase, putative "
LOC_Os08g40530,0.96,6.50E-14,35.667,65.288,"calcium-transporting ATPase 9, plasma membrane-type, putative "
LOC_Os11g01850,0.96,8.59E-07,2.061,3.798,"SAG20, putative "
LOC_Os11g32110,0.96,4.48E-10,49.255,89.852,"auxin response factor, putative "
LOC_Os07g07930,0.96,1.27E-08,192.354,350.344,"LTPL78 - Protease inhibitor/seed storage/LTP family protein precursor, "
LOC_Os11g04460,0.96,1.88E-16,30.375,55.650,"calcium-transporting ATPase, plasma membrane-type, putative "
LOC_Os12g14070,0.96,2.22E-13,39.172,71.567,"DnaK family protein, putative "
LOC_Os01g15770,0.96,8.89E-06,10.833,19.679,"transmembrane protein 136, putative "
LOC_Os09g39190,0.96,2.38E-09,24.305,44.691,"OsFBO22 - F-box and other domain containing protein, "
LOC_Os01g10830,0.96,2.04E-05,6.338,11.532,"carnitine racemase like protein, putative "
LOC_Os01g73970,0.96,1.90E-12,22.572,41.180,"lysine ketoglutarate reductase trans-splicing related 1, putative "
LOC_Os09g36320,0.96,6.94E-07,4.310,7.841,"tyrosine protein kinase domain containing protein, putative "
LOC_Os06g36180,0.96,4.22E-13,8.606,15.690,"amino acid transporter, putative "
LOC_Os10g33140,0.96,1.04E-09,7.069,12.870,"hcrVf2 protein, putative "
LOC_Os02g02340,0.96,1.76E-08,18.468,33.518,"glycerol-3-phosphate acyltransferase, putative "
LOC_Os04g46220,0.96,1.63E-13,15.064,27.576,"ethylene-responsive transcription factor, putative "
LOC_Os09g35810,0.96,5.50E-13,16.664,30.315,"NC domain-containing protein, putative "
LOC_Os09g24330,0.95,1.23E-11,9.015,16.403,TKL_IRAK_DUF26-lg.2 - DUF26 kinases have homology to DUF26 containing loci 
LOC_Os04g49520,0.95,3.61E-14,16.563,30.331,"pentatricopeptide repeat protein PPR868-14, putative "
LOC_Os11g24374,0.95,4.16E-13,10.252,18.686,OsSCP55 - Putative Serine Carboxypeptidase homologue 
LOC_Os03g55430,0.95,1.22E-07,6.581,12.022,expressed protein
LOC_Os12g36750,0.95,1.21E-09,6.307,11.476,expressed protein
LOC_Os11g12620,0.95,2.22E-09,2.841,5.201,"receptor protein kinase CLAVATA1 precursor, putative "
LOC_Os06g08060,0.95,1.90E-06,3.447,6.279,"leucoanthocyanidin dioxygenase, putative "
LOC_Os01g56200,0.95,9.69E-12,30.813,55.927,"BTBA2 - Bric-a-Brac,Tramtrack, Broad Complex BTB domain with Ankyrin repeat region"
LOC_Os05g25260,0.95,1.12E-15,12.107,22.056,AP2 domain containing protein 
LOC_Os05g44270,0.95,1.40E-10,15.267,27.678,"VQ domain containing protein, putative "
LOC_Os09g39960,0.95,1.77E-10,17.712,32.082,"dynamin family protein, putative "
LOC_Os12g07540,0.95,3.29E-11,4.804,8.759,"growth regulator related protein, putative "
LOC_Os05g34480,0.95,1.70E-09,10.111,18.377,expressed protein
LOC_Os05g32860,0.95,2.30E-09,11.154,20.288,expressed protein
LOC_Os03g15340,0.95,4.47E-14,51.288,93.033,"plastocyanin-like domain containing protein, putative "
LOC_Os07g39470,0.95,1.53E-14,30.545,55.511,"gibberellin response modulator protein, putative "
LOC_Os02g50340,0.94,3.97E-06,5.091,9.152,"membrane attack complex component/perforin/complement C9, putative "
LOC_Os01g54560,0.94,2.88E-13,17.393,31.434,"trehalose synthase, putative "
LOC_Os02g44235,0.94,4.64E-11,10.060,18.167,expressed protein
LOC_Os07g35290,0.94,9.88E-07,10.426,18.725,TKL_IRAK_DUF26-lc.10 - DUF26 kinases have homology to DUF26 containing loci 
LOC_Os01g62460,0.94,1.40E-11,24.064,43.393,ZOS1-16 - C2H2 zinc finger protein 
LOC_Os02g02780,0.94,4.24E-11,16.292,29.371,"protein kinase family protein, putative "
LOC_Os04g45480,0.94,8.40E-05,2.067,3.730,"heat shock protein STI, putative "
LOC_Os02g44230,0.94,6.32E-11,7.282,13.130,CPuORF22 - conserved peptide uORF-containing transcript 
LOC_Os10g38360,0.94,8.82E-05,158.274,283.270,"glutathione S-transferase, putative "
LOC_Os03g62430,0.94,1.28E-10,4.937,8.898,OsWAK28 - OsWAK receptor-like protein kinase 
LOC_Os08g09840,0.94,7.64E-06,7.706,13.795,WRKY117 
LOC_Os02g43540,0.94,3.34E-09,55.783,101.245,"retrotransposon protein, putative unclassified "
LOC_Os03g14300,0.94,1.78E-08,23.873,43.357,THION29 - Plant thionin family protein precursor 
LOC_Os08g03630,0.94,8.07E-06,2.243,4.026,"acyl-activating enzyme 14, putative "
LOC_Os02g50470,0.93,7.23E-06,4.621,8.292,expressed protein
LOC_Os05g29050,0.93,6.55E-12,7.030,12.610,"phospholipase D p1, putative "
LOC_Os08g30070,0.93,2.67E-09,2.416,4.331,expressed protein
LOC_Os03g62790,0.93,1.40E-08,43.544,77.777,"pirin, putative "
LOC_Os02g06910,0.93,5.09E-16,18.767,33.745,"auxin response factor 6, putative "
LOC_Os08g01290,0.93,1.71E-12,27.479,49.227,OsFBT12 - F-box and tubby domain containing protein 
LOC_Os05g03740,0.93,9.99E-07,4.515,8.078,"transcription factor TF2, putative "
LOC_Os07g05010,0.93,1.66E-07,2.816,5.073,helix-loop-helix DNA-binding domain containing protein 
LOC_Os03g18130,0.93,5.69E-09,23.071,41.257,"asparagine synthetase, putative "
LOC_Os06g50100,0.93,2.32E-10,5.832,10.439,"tyrosine protein kinase domain containing protein, putative "
LOC_Os02g44820,0.93,5.28E-09,9.294,16.751,"rho-GTPase-activating protein-related, putative "
LOC_Os01g72430,0.93,1.07E-11,30.434,54.331,"NADPH quinone oxidoreductase, putative "
LOC_Os07g40640,0.93,1.30E-08,45.169,81.456,expressed protein
LOC_Os09g12660,0.93,6.57E-10,6.369,11.406,"glucose-1-phosphate adenylyltransferase large subunit, chloroplast precursor, putative "
LOC_Os05g34950,0.93,4.77E-13,8.830,15.783,"cysteine-rich receptor-like protein kinase 6 precursor, putative "
LOC_Os01g70080,0.93,8.70E-12,4.686,8.370,NB-ARC domain containing protein 
LOC_Os10g39120,0.93,5.90E-15,119.447,213.419,"ubiquitin-conjugating enzyme, putative "
LOC_Os02g19770,0.93,2.21E-14,23.873,42.757,"eukaryotic translation initiation factor 1A, putative "
LOC_Os09g23140,0.93,2.46E-13,29.628,53.037,endonuclease/exonuclease/phosphatase family domain containing protein 
LOC_Os06g02490,0.92,2.85E-10,64.537,114.828,"acyl CoA binding protein, putative "
LOC_Os03g04930,0.92,3.94E-12,32.835,58.530,expressed protein
LOC_Os10g39130,0.92,6.45E-09,11.413,20.542,OsMADS56 - MADS-box family gene with MIKCc type-box 
LOC_Os04g01310,0.92,7.04E-11,5.564,9.950,"serine/threonine-protein kinase receptor precursor, putative "
LOC_Os06g06760,0.92,1.78E-12,7.434,13.239,"protein kinase, putative "
LOC_Os04g38970,0.92,1.12E-12,7.653,13.658,"protein binding protein, putative "
LOC_Os12g36240,0.92,2.33E-08,339.210,606.657,"inhibitor I family protein, putative "
LOC_Os01g24500,0.92,6.31E-07,5.111,9.073,expressed protein
LOC_Os03g55320,0.92,5.87E-14,26.065,46.416,"protein phosphatase 2C, putative "
LOC_Os01g02290,0.92,1.51E-09,4.469,7.972,"Ser/Thr receptor-like kinase, putative "
LOC_Os11g01480,0.92,3.36E-11,7.562,13.460,"MYB family transcription factor, putative "
LOC_Os02g03020,0.92,4.27E-09,28.023,49.702,"EF hand family protein, putative "
LOC_Os08g39140,0.92,1.34E-08,131.757,233.534,"heat shock protein, putative "
LOC_Os03g58110,0.92,4.62E-08,32.821,58.075,"uncharacterized protein At4g06744 precursor, putative "
LOC_Os04g57550,0.92,4.36E-10,31.901,56.476,amine oxidase flavin-containing domain containing protein 
LOC_Os09g31200,0.92,1.16E-13,24.948,44.373,AN1-like zinc finger domain containing protein 
LOC_Os01g60930,0.92,2.22E-11,31.562,55.863,expressed protein
LOC_Os07g46380,0.92,1.16E-13,8.492,15.067,"glycosyltransferase, putative "
LOC_Os01g57050,0.92,4.99E-05,3.812,6.810,expressed protein
LOC_Os05g49750,0.91,1.34E-10,4.010,7.104,expressed protein
LOC_Os03g06250,0.91,7.60E-06,3.004,5.336,"retrotransposon protein, putative unclassified "
LOC_Os09g20880,0.91,7.46E-10,14.548,25.631,"serine/threonine-protein kinase, putative "
LOC_Os09g23894,0.91,1.00E-06,6.099,10.781,expressed protein
LOC_Os08g44340,0.91,4.22E-10,81.196,143.018,"monodehydroascorbate reductase, putative "
LOC_Os04g47970,0.91,3.54E-14,25.047,44.355,"ORM1, putative "
LOC_Os03g08600,0.91,1.91E-13,8.780,15.564,"glycosyl transferase, putative "
LOC_Os03g51930,0.91,1.60E-10,9.840,17.449,expressed protein
LOC_Os02g47580,0.91,4.91E-13,25.390,44.856,expressed protein
LOC_Os06g05430,0.91,2.59E-09,16.779,29.691,expressed protein
LOC_Os09g20460,0.91,3.43E-07,6.111,10.734,"VQ domain containing protein, putative "
LOC_Os11g03900,0.91,5.50E-09,13.196,23.199,"glucosamine--fructose-6-phosphate aminotransferase 1, putative "
LOC_Os07g29224,0.91,4.69E-10,6.098,10.754,expressed protein
LOC_Os11g10550,0.91,9.45E-10,4.762,8.391,"NBS-LRR disease resistance protein, putative "
LOC_Os10g34480,0.91,6.27E-07,77.389,135.596,"cytochrome P450, putative "
LOC_Os03g12390,0.91,3.42E-09,6.467,11.446,"STE_MEK_ste7_MAP2K.6 - STE kinases include homologs to sterile 7, sterile 11 and sterile 20 from yeast"
LOC_Os03g45390,0.90,6.16E-10,5.453,9.624,"glucan endo-1,3-beta-glucosidase precursor, putative "
LOC_Os12g41710,0.90,4.36E-09,18.266,32.005,Protein kinase domain containing protein 
LOC_Os03g12230,0.90,2.10E-10,9.648,17.011,"caleosin related protein, putative "
LOC_Os06g45300,0.90,5.04E-11,28.112,49.286,"serine/threonine-protein kinase HT1, putative "
LOC_Os12g29430,0.90,2.72E-07,8.325,14.692,OsWAK125 - OsWAK receptor-like  protein OsWAK-RLP 
LOC_Os07g32010,0.90,1.51E-08,4.300,7.550,UDP-glucoronosyl and UDP-glucosyl transferase domain containing protein 
LOC_Os05g04170,0.90,1.01E-08,4.999,8.841,"AMP-binding enzyme, putative "
LOC_Os05g34940,0.90,6.78E-11,6.169,10.859,"OsMADS4 - MADS-box family gene with MIKCc type-box, "
LOC_Os10g34170,0.90,1.41E-08,12.874,22.488,"glutaredoxin domain containing protein, putative "
LOC_Os01g55340,0.90,1.23E-09,8.902,15.615,"dof zinc finger domain containing protein, putative "
LOC_Os05g15150,0.90,8.45E-06,1.258,2.208,"leucyl-tRNA synthetase, cytoplasmic, putative "
LOC_Os01g02010,0.90,2.60E-12,20.111,35.458,expressed protein
LOC_Os03g04770,0.90,2.70E-11,7.646,13.384,"beta-amylase, putative "
LOC_Os03g49260,0.90,2.29E-10,12.987,22.862,"lipoxygenase, putative "
LOC_Os02g46620,0.90,7.77E-05,3.037,5.312,expressed protein
LOC_Os03g10478,0.90,2.50E-06,4.968,8.651,"glycosyl hydrolase family 10 protein, putative "
LOC_Os03g60580,0.90,1.96E-05,25.675,44.829,"actin-depolymerizing factor, putative "
LOC_Os11g44310,0.90,7.03E-07,2.599,4.567,"calmodulin binding protein, putative "
LOC_Os11g31940,0.89,3.27E-08,27.496,47.869,"GDSL-like lipase/acylhydrolase, putative "
LOC_Os02g42940,0.89,1.33E-09,10.389,18.100,MSP domain containing protein 
LOC_Os03g26910,0.89,1.44E-12,40.195,70.325,"uncharacterized glycosyl hydrolase Rv2006/MT2062, putative "
LOC_Os11g44380,0.89,8.87E-09,6.604,11.517,expressed protein
LOC_Os02g11980,0.89,2.32E-05,1.461,2.544,"receptor-like protein kinase precursor, putative "
LOC_Os09g23150,0.89,4.10E-12,11.666,20.348,"monoglyceride lipase, putative "
LOC_Os10g21660,0.89,1.34E-06,2.460,4.298,"FAD binding protein, putative "
LOC_Os01g09800,0.89,1.68E-12,24.146,42.050,"BTBA1 - Bric-a-Brac,Tramtrack, Broad Complex BTB domain with Ankyrin repeat region"
LOC_Os03g12110,0.89,1.08E-06,13.866,24.015,"homocysteine S-methyltransferase protein, putative "
LOC_Os03g19720,0.89,1.21E-09,42.082,73.052,"EF hand family protein, putative "
LOC_Os04g37790,0.89,7.23E-12,7.794,13.557,expressed protein
LOC_Os02g47450,0.89,3.51E-11,8.363,14.584,expressed protein
LOC_Os09g37230,0.89,8.31E-14,19.864,34.580,"protein kinase family protein, putative "
LOC_Os07g42960,0.89,5.25E-12,288.929,501.412,"phospho-2-dehydro-3-deoxyheptonate aldolase, chloroplast precursor, putative "
LOC_Os04g45090,0.89,9.74E-07,5.249,9.108,"cytochrome b561, putative "
LOC_Os06g08090,0.89,5.47E-10,7.905,13.814,"heparanase-like protein precursor, putative "
LOC_Os02g47660,0.89,8.47E-10,6.011,10.471,"basic helix-loop-helix, putative "
LOC_Os08g44820,0.88,1.10E-08,42.739,73.831,"no apical meristem protein, putative "
LOC_Os07g23640,0.88,3.24E-10,175.931,306.451,"retrotransposon protein, putative Ty3-gypsy subclass"
LOC_Os02g43430,0.88,6.18E-07,6.168,10.639,protein kinase domain containing protein 
LOC_Os01g58740,0.88,1.75E-07,26.252,45.239,"glycerol-3-phosphate dehydrogenase, putative "
LOC_Os01g50080,0.88,1.83E-10,24.958,43.234,"MDR-like ABC transporter, putative "
LOC_Os09g32290,0.88,2.11E-09,7.502,13.005,FAD dependent oxidoreductase domain containing protein 
LOC_Os04g52330,0.88,1.19E-07,5.197,8.990,expressed protein
LOC_Os04g32404,0.88,2.62E-05,2.677,4.676,expressed protein
LOC_Os01g56890,0.88,1.03E-13,15.973,27.709,expressed protein
LOC_Os12g08810,0.88,8.18E-08,126.049,217.108,"VTC2, putative "
LOC_Os09g16280,0.88,1.14E-05,4.884,8.462,"hydroxyproline-rich glycoprotein family protein, putative "
LOC_Os03g30790,0.88,5.82E-13,42.327,73.268,"erlin-2 precursor, putative "
LOC_Os04g37500,0.88,2.21E-07,6.194,10.660,"glutamate decarboxylase, putative "
LOC_Os06g13190,0.88,5.81E-11,39.435,68.112,expressed protein
LOC_Os05g35500,0.88,2.50E-08,8.163,14.074,"MYB family transcription factor, putative "
LOC_Os08g25380,0.88,3.51E-10,3.370,5.822,"serine/threonine-protein kinase BRI1-like 1 precursor, putative "
LOC_Os06g12390,0.88,1.40E-11,25.166,43.414,"galactosyltransferase family protein, putative "
LOC_Os02g07160,0.88,3.05E-12,10.118,17.478,"glyoxalase family protein, putative "
LOC_Os03g49940,0.88,8.82E-07,3.364,5.834,"integral membrane protein, putative "
LOC_Os05g48590,0.88,4.20E-12,38.163,65.801,OsIAA19 - Auxin-responsive Aux/IAA gene family member 
LOC_Os09g19790,0.88,1.42E-10,11.799,20.327,"puromycin-sensitive aminopeptidase, putative "
LOC_Os10g37850,0.88,2.93E-12,9.642,16.688,"armadillo, putative "
LOC_Os05g30350,0.88,1.86E-07,4.788,8.253,"Os5bglu22 - beta-glucosidase homologue, similar to G. max isohydroxyurate hydrolase, "
LOC_Os05g25390,0.88,4.63E-11,8.771,15.108,"tyrosine protein kinase domain containing protein, putative "
LOC_Os04g50700,0.87,7.20E-11,25.715,44.280,"pathogenesis-related Bet v I family protein, putative "
LOC_Os10g33660,0.87,1.75E-13,74.798,128.910,"SNF7 domain containing protein, putative "
LOC_Os03g45930,0.87,3.13E-09,7.253,12.469,expressed protein
LOC_Os05g42000,0.87,2.75E-11,24.064,41.395,"peroxidase precursor, putative "
LOC_Os12g18640,0.87,8.65E-08,2.935,5.068,"pentatricopeptide, putative "
LOC_Os09g20090,0.87,4.66E-10,15.502,26.637,"L-ascorbate oxidase precursor, putative "
LOC_Os07g44180,0.87,2.40E-13,200.469,345.233,"OsRCI2-10 - Hydrophobic protein LTI6A, "
LOC_Os07g35380,0.87,2.07E-06,2.302,3.970,TKL_IRAK_DUF26-lc.16 - DUF26 kinases have homology to DUF26 containing loci 
LOC_Os02g37690,0.87,2.42E-10,6.594,11.368,"UDP-glucoronosyl and UDP-glucosyl transferase, putative "
LOC_Os04g47700,0.87,2.64E-08,29.250,50.005,expressed protein
LOC_Os03g61240,0.87,3.48E-05,10.401,17.711,expressed protein
LOC_Os03g03660,0.87,3.43E-08,46.390,79.273,CAMK_CAMK_like.17 - CAMK includes calcium/calmodulin depedent protein kinases 
LOC_Os10g02300,0.87,8.46E-08,22.596,38.568,"uncharacterized Cys-rich domain containing protein, putative "
LOC_Os01g62290,0.87,1.69E-09,24.953,42.703,"DnaK family protein, putative "
LOC_Os06g44870,0.86,1.35E-05,12.609,21.650,expressed protein
LOC_Os08g25624,0.86,6.67E-14,57.604,98.796,"phosphate/phosphate translocator, putative "
LOC_Os03g02514,0.86,8.59E-10,57.614,98.230,"hydrolase, alpha/beta fold family protein, putative "
LOC_Os06g10520,0.86,3.19E-10,41.517,70.836,"pantothenate kinase, putative "
LOC_Os09g29960,0.86,9.04E-07,6.770,11.561,"dof zinc finger domain containing protein, putative "
LOC_Os12g06220,0.86,1.10E-07,33.994,57.851,"harpin-induced protein 1 domain containing protein, "
LOC_Os02g52550,0.86,9.54E-12,40.636,69.437,"uncharacterized Cys-rich domain containing protein, putative "
LOC_Os12g06180,0.86,1.63E-08,18.282,31.119,"HVA22, putative "
LOC_Os08g38710,0.86,7.84E-06,22.001,37.376,"uncharacterized glycosyltransferase, putative "
LOC_Os03g04690,0.86,3.72E-10,5.481,9.390,expressed protein
LOC_Os04g48170,0.86,1.65E-06,3.610,6.207,"cytochrome P450, putative "
LOC_Os04g57690,0.86,6.41E-11,11.205,19.129,expressed protein
LOC_Os09g25760,0.86,2.96E-09,70.591,120.190,"tetraspanin family protein, putative "
LOC_Os11g03300,0.86,3.35E-08,5.053,8.650,"NAC domain transcription factor, putative "
LOC_Os06g40210,0.86,1.23E-10,19.607,33.474,expressed protein
LOC_Os12g39110,0.86,1.82E-10,22.600,38.739,"zinc finger, C3HC4 type domain containing protein"
LOC_Os02g12870,0.86,1.63E-11,22.664,38.590,expressed protein
LOC_Os11g33120,0.86,1.11E-09,34.008,57.789,"respiratory burst oxidase, putative "
LOC_Os01g70790,0.86,3.18E-10,12.001,20.447,"SRC2 protein, putative "
LOC_Os02g34430,0.86,1.14E-10,19.313,32.844,"serine/threonine-protein kinase, putative "
LOC_Os04g02980,0.86,1.22E-05,2.169,3.699,OsSub33 - Putative Subtilisin homologue 
LOC_Os07g40860,0.86,4.95E-08,71.748,121.782,"retrotransposon protein, putative unclassified "
LOC_Os01g51010,0.86,1.95E-08,11.842,20.085,"DUF292 domain containing protein, "
LOC_Os05g09580,0.86,1.14E-10,227.528,386.725,expressed protein
LOC_Os05g42070,0.86,3.34E-05,44.548,75.206,"UDP-glucose flavonoid-O-glucosyltransferase, putative "
LOC_Os04g03920,0.86,1.21E-05,5.864,9.932,expressed protein
LOC_Os02g17320,0.85,2.80E-10,26.050,44.188,"uridine/cytidine kinase-like 1, putative "
LOC_Os08g30740,0.85,9.11E-05,67.159,113.185,"ABC transporter, ATP-binding protein, putative "
LOC_Os05g10670,0.85,1.90E-13,19.575,33.298,"zinc finger CCCH type family protein, putative "
LOC_Os10g38470,0.85,5.61E-05,4.116,7.001,"glutathione S-transferase, putative "
LOC_Os10g36550,0.85,1.00E-13,107.367,182.554,CRP3 - Cysteine-rich family protein precursor 
LOC_Os01g57110,0.85,5.66E-09,25.950,43.873,SNF2 family N-terminal domain containing protein 
LOC_Os04g34000,0.85,2.82E-06,2.571,4.371,"digalactosyldiacylglycerol synthase, chloroplast precursor, putative "
LOC_Os01g59690,0.85,3.14E-09,11.504,19.473,OsFBX28 - F-box domain containing protein 
LOC_Os10g20470,0.85,2.64E-09,6.395,10.848,"MATE efflux family protein, putative "
LOC_Os10g11200,0.85,1.28E-07,5.337,9.015,"aminotransferase, classes I and II, domain containing protein"
LOC_Os03g03700,0.85,1.87E-12,10.227,17.333,"MLO domain containing protein, putative "
LOC_Os05g05620,0.85,2.30E-11,30.853,52.437,"glutathione S-transferase, putative "
LOC_Os01g02400,0.85,4.40E-05,1.463,2.489,protein kinase domain containing protein 
LOC_Os03g29184,0.85,2.19E-05,6.223,10.538,expressed protein
LOC_Os09g27500,0.85,3.83E-09,74.490,126.175,"cytochrome P450, putative "
LOC_Os01g62480,0.85,1.24E-06,4.013,6.824,"laccase precursor protein, putative "
LOC_Os02g10730,0.84,8.27E-08,18.633,31.368,expressed protein
LOC_Os06g05690,0.84,4.44E-09,33.186,55.861,"cysteine synthase, chloroplast/chromoplast precursor, putative "
LOC_Os06g51060,0.84,2.16E-09,25.661,43.394,CHIT8 - Chitinase family protein precursor 
LOC_Os05g48670,0.84,1.39E-07,7.713,12.997,OsFBT10 - F-box and tubby domain containing protein 
LOC_Os09g36300,0.84,5.40E-10,62.273,104.752,OsLonP4 - Putative Lon protease homologue 
LOC_Os03g50220,0.84,4.83E-08,6.701,11.276,"homologous-pairing protein meu13, putative "
LOC_Os09g29970,0.84,9.94E-13,37.989,64.217,"TMV-MP30 binding protein 2C, putative "
LOC_Os09g23620,0.84,1.36E-05,7.198,12.080,"MYB family transcription factor, putative "
LOC_Os03g49770,0.84,1.40E-11,24.489,41.192,"oxysterol-binding protein, putative "
LOC_Os04g57540,0.84,8.82E-11,12.671,21.317,"adenylate kinase, putative "
LOC_Os10g03850,0.84,1.60E-07,3.859,6.512,OsFBX352 - F-box domain containing protein 
LOC_Os03g60220,0.84,2.35E-07,8.831,14.896,"DUF567 domain containing protein, putative "
LOC_Os10g38040,0.84,2.34E-08,44.107,74.616,"lysM domain containing protein, putative "
LOC_Os06g50220,0.84,1.08E-08,19.695,33.013,expressed protein
LOC_Os01g54860,0.84,4.59E-11,44.281,74.277,"enoyl-CoA hydratase/isomerase family protein, putative "
LOC_Os05g41150,0.84,3.84E-07,3.398,5.728,expressed protein
LOC_Os06g06180,0.84,6.85E-08,9.396,15.739,"transferase family protein, putative "
LOC_Os07g40870,0.84,1.96E-10,118.111,198.108,"igA FC receptor precursor, putative "
LOC_Os12g07640,0.84,1.05E-06,14.155,23.649,"MYB family transcription factor, putative "
LOC_Os09g28000,0.83,1.71E-08,49.973,83.482,OsSigP6 - Putative Type I Signal Peptidase homologue; employs a putative Ser/Lys catalytic dyad
LOC_Os04g41160,0.83,2.22E-09,7.053,11.824,"protein kinase, putative "
LOC_Os10g37710,0.83,6.08E-08,12.899,21.537,"hydrolase, alpha/beta fold family protein, putative "
